OrderID,OrderDate,Customer,City,Region,Product,Qty,UnitPrice,Amount,PaymentMethod,Status
ORD-M202604-1000,10/04/2026,Juan Flores,Iloilo City,Western Visayas,Head & Shoulders Sachet,18,7.0,126.0,COD,Delivered
ORD-M202604-1001,15/04/2026,Manuel Flores,Dasmarinas,CALABARZON,CDO Corned Beef,1,33.0,33.0,Maya,Delivered
ORD-M202604-1002,23/04/2026,Ricardo Ocampo,Pasig,NCR,Sterling Notebook,18,18.0,324.0,COD,Cancelled
ORD-M202604-1003,01/04/2026,Manuel Mendoza,Tagbilaran,Central Visayas,Nescafe 3-in-1 Sachet,11,8.0,88.0,GCash,Delivered
ORD-M202604-1004,25/04/2026,Corazon Ramos,Pasig,NCR,Yellow Pad Paper,8,12.0,96.0,COD,Delivered
ORD-M202604-1005,08/04/2026,Eduardo Pascual,Tarlac City,Central Luzon,Surf Powder Sachet,18,8.0,144.0,Cash,Delivered
ORD-M202604-1006,11/04/2026,Corazon Bautista,Davao City,Davao Region,Safeguard Soap Bar,9,28.0,252.0,COD,Returned
ORD-M202604-1007,21/04/2026,Eduardo Santos,Pasig,NCR,Nova Multigrain 78g,19,30.0,570.0,Cash,Delivered
ORD-M202604-1008,09/04/2026,Roberto Bautista,Tagum,Davao Region,ILUV Ballpen,3,10.0,30.0,GCash,Delivered
ORD-M202604-1009,25/04/2026,Ana Ramos,Tarlac City,Central Luzon,SkyFlakes Crackers,3,15.0,45.0,Cash,Delivered
ORD-M202604-1010,28/04/2026,Pedro Torres,Dasmarinas,CALABARZON,CDO Corned Beef,11,33.0,363.0,Cash,Delivered
ORD-M202604-1011,29/04/2026,Juan Bautista,Angeles City,Central Luzon,Milo Sachet,13,9.0,117.0,GCash,Cancelled
ORD-M202604-1012,15/04/2026,Luz Reyes,Tarlac City,Central Luzon,Safeguard Soap Bar,13,28.0,364.0,COD,Delivered
ORD-M202604-1013,20/04/2026,Jose Castillo,Malolos,Central Luzon,Safeguard Soap Bar,10,28.0,280.0,Maya,Pending
ORD-M202604-1014,02/04/2026,Ramon Ocampo,Davao City,Davao Region,ILUV Ballpen,3,10.0,30.0,Cash,Returned
ORD-M202604-1015,20/04/2026,Ramon Mendoza,Tagum,Davao Region,Boy Bawang 100g,13,18.0,234.0,COD,Delivered
ORD-M202604-1016,16/04/2026,Jose Castillo,Malolos,Central Luzon,Boy Bawang 100g,9,18.0,162.0,Cash,Delivered
ORD-M202604-1017,01/04/2026,Luz Castillo,Calamba,CALABARZON,Nissin Cup Noodles,8,20.0,160.0,Cash,Delivered
ORD-M202604-1018,08/04/2026,Eduardo Aquino,Tarlac City,Central Luzon,Domex Toilet Cleaner,18,55.0,990.0,GCash,Delivered
ORD-M202604-1019,23/04/2026,Eduardo Mendoza,Batangas City,CALABARZON,Piattos 85g,12,32.0,384.0,GCash,Delivered
ORD-M202604-1020,14/04/2026,Ana Cruz,Quezon City,NCR,Boy Bawang 100g,9,18.0,162.0,GCash,Delivered
ORD-M202604-1021,25/04/2026,Jose Castillo,Malolos,Central Luzon,Sta. Maria Crayons,10,40.0,400.0,COD,Delivered
ORD-M202604-1022,21/04/2026,Pedro Santos,Iloilo City,Western Visayas,ILUV Ballpen,8,10.0,80.0,GCash,Delivered
ORD-M202604-1023,20/04/2026,Maria Flores,Makati,NCR,Joy Dishwashing Liquid 250ml,15,38.0,570.0,Maya,Delivered
ORD-M202604-1024,08/04/2026,Manuel Villanueva,Tagbilaran,Central Visayas,Domex Toilet Cleaner,17,55.0,935.0,GCash,Cancelled
ORD-M202604-1025,20/04/2026,Carmen Reyes,Tagbilaran,Central Visayas,Argentina Corned Beef,7,35.0,245.0,GCash,Delivered
ORD-M202604-1026,07/04/2026,Carmen Flores,Tarlac City,Central Luzon,CDO Corned Beef,10,33.0,330.0,GCash,Cancelled
ORD-M202604-1027,23/04/2026,Luz Ocampo,Bacolod,Western Visayas,C2 Green Tea 500ml,7,22.0,154.0,COD,Pending
ORD-M202604-1028,07/04/2026,Pedro Torres,Dasmarinas,CALABARZON,Yellow Pad Paper,3,12.0,36.0,COD,Delivered
ORD-M202604-1029,24/04/2026,Manuel Santos,Mandaue,Central Visayas,Head & Shoulders Sachet,16,7.0,112.0,Cash,Pending
ORD-M202604-1030,25/04/2026,Manuel Flores,Dasmarinas,CALABARZON,Sta. Maria Crayons,19,40.0,760.0,COD,Cancelled
ORD-M202604-1031,17/04/2026,Corazon Bautista,Davao City,Davao Region,Lucky Me Beef Sotanghon,14,13.0,182.0,Cash,Delivered
ORD-M202604-1032,23/04/2026,Manuel Mendoza,Mandaue,Central Visayas,Surf Powder Sachet,10,8.0,80.0,Cash,Delivered
ORD-M202604-1033,05/04/2026,Josefina Torres,Tagum,Davao Region,Nissin Cup Noodles,8,20.0,160.0,Cash,Cancelled
ORD-M202604-1034,13/04/2026,Manuel Mendoza,Mandaue,Central Visayas,Lucky Me Beef Sotanghon,14,13.0,182.0,Cash,Delivered
ORD-M202604-1035,19/04/2026,Rosa Del Rosario,Angeles City,Central Luzon,Palmolive Shampoo Sachet,13,6.0,78.0,GCash,Delivered
ORD-M202604-1036,01/04/2026,Ana Cruz,Manila,NCR,ILUV Ballpen,9,10.0,90.0,Maya,Pending
ORD-M202604-1037,21/04/2026,Maria Cruz,Iloilo City,Western Visayas,C2 Green Tea 500ml,12,22.0,264.0,Cash,Pending
ORD-M202604-1038,25/04/2026,Carmen Reyes,Tagbilaran,Central Visayas,ILUV Ballpen,6,10.0,60.0,COD,Delivered
ORD-M202604-1039,01/04/2026,Eduardo Ocampo,Tagum,Davao Region,SkyFlakes Crackers,20,15.0,300.0,Bank Transfer,Delivered
ORD-M202604-1040,16/04/2026,Corazon Villanueva,Makati,NCR,Safeguard Soap Bar,3,28.0,84.0,Cash,Pending
ORD-M202604-1041,13/04/2026,Rosa Cruz,Tarlac City,Central Luzon,Nescafe 3-in-1 Sachet,16,8.0,128.0,GCash,Delivered
ORD-M202604-1042,20/04/2026,Josefina Santos,Tagbilaran,Central Visayas,Coca-Cola 1.5L,16,65.0,1040.0,Cash,Delivered
ORD-M202604-1043,01/04/2026,Fernando Santos,Bacolod,Western Visayas,CDO Corned Beef,17,33.0,561.0,GCash,Delivered
ORD-M202604-1044,12/04/2026,Ricardo Pascual,Tarlac City,Central Luzon,Coca-Cola 1.5L,8,65.0,520.0,GCash,Delivered
ORD-M202604-1045,25/04/2026,Elena Villanueva,Malolos,Central Luzon,Lucky Me Pancit Canton Noodles,10,14.0,140.0,Cash,Delivered
ORD-M202604-1046,15/04/2026,Eduardo Bautista,Cebu City,Central Visayas,SkyFlakes Crackers,17,15.0,255.0,COD,Delivered
ORD-M202604-1047,16/04/2026,Teresa Villanueva,Malolos,Central Luzon,C2 Green Tea 500ml,12,22.0,264.0,GCash,Pending
ORD-M202604-1048,06/04/2026,Corazon Aquino,Tagum,Davao Region,Joy Dishwashing Liquid 250ml,3,38.0,114.0,COD,Delivered
ORD-M202604-1049,11/04/2026,Antonio Castillo,Angeles City,Central Luzon,Nissin Cup Noodles,15,20.0,300.0,Cash,Delivered
ORD-M202604-1050,29/04/2026,Maria Santos,Tagum,Davao Region,Milo Sachet,19,9.0,171.0,COD,Delivered
ORD-M202604-1051,30/04/2026,Luz Reyes,Dasmarinas,CALABARZON,Safeguard Soap Bar,13,28.0,364.0,COD,Cancelled
ORD-M202604-1052,20/04/2026,Teresa Villanueva,Iloilo City,Western Visayas,SkyFlakes Crackers,5,15.0,75.0,Cash,Returned
ORD-M202604-1053,18/04/2026,Luz Pascual,Cebu City,Central Visayas,Joy Dishwashing Liquid 250ml,6,38.0,228.0,GCash,Delivered
ORD-M202604-1054,14/04/2026,Fernando Garcia,Tagbilaran,Central Visayas,Coca-Cola 1.5L,20,65.0,1300.0,Maya,Delivered
ORD-M202604-1055,17/04/2026,Josefina Cruz,Makati,NCR,Sterling Notebook,6,18.0,108.0,Maya,Cancelled
ORD-M202604-1056,25/04/2026,Carmen Villanueva,Tarlac City,Central Luzon,Lucky Me Beef Sotanghon,3,13.0,39.0,Cash,Delivered
ORD-M202604-1057,14/04/2026,Manuel Santos,Mandaue,Central Visayas,Sterling Notebook,7,18.0,126.0,COD,Delivered
ORD-M202604-1058,19/04/2026,Josefina Ocampo,Davao City,Davao Region,Milo Sachet,15,9.0,135.0,Cash,Delivered
ORD-M202604-1059,10/04/2026,Jose Ocampo,Mandaue,Central Visayas,Zonrox Bleach 500ml,13,32.0,416.0,Cash,Delivered
ORD-M202604-1060,29/04/2026,Corazon Ocampo,Iloilo City,Western Visayas,Yellow Pad Paper,1,12.0,12.0,Cash,Pending
ORD-M202604-1061,22/04/2026,Corazon Villanueva,Angeles City,Central Luzon,SkyFlakes Crackers,17,15.0,255.0,COD,Test
ORD-M202604-1062,27/04/2026,Ana Mendoza,Tagum,Davao Region,Head & Shoulders Sachet,1,7.0,7.0,Cash,Delivered
ORD-M202604-1063,25/04/2026,Carmen Villanueva,Tarlac City,Central Luzon,Sta. Maria Crayons,7,40.0,280.0,Bank Transfer,Delivered
ORD-M202604-1064,12/04/2026,Antonio Castillo,Angeles City,Central Luzon,Sta. Maria Crayons,19,40.0,760.0,COD,Delivered
ORD-M202604-1065,27/04/2026,Jose Cruz,Angeles City,Central Luzon,ILUV Ballpen,16,10.0,160.0,Cash,Delivered
